no,filename,order_date,date_source,case_no,court,action,urls_found,declared_count,count_match,corroborated,corroboration,confidence,source,pages,strategy,merged_from,ocr_pages,ocr_engine,attachment_id,pdf_url,notes
1,1_Blocking order dated 05 August 2026.pdf,2026-08-05,title,CS (COMM) 331/2025,Delhi High Court,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,81855,https://www.dot.gov.in/static/uploads/2026/08/3f5dd879091418c075b84d3a9f51a88a.pdf,
2,2_Blocking order dated 05 August 2026.pdf,2026-08-05,pdf,CS (COMM) 861 of 2023,High Court of Delhi,block,5,5,yes,yes,matches the 5 declared in the DoT letter,high,annexure,2,plain,,,,81865,https://www.dot.gov.in/static/uploads/2026/08/0674ec55a9784eaef7686decf9aaf8d7.pdf,
3,3_Blocking order dated 05 August 2026.pdf,2026-08-05,pdf,CS(COMM) 753/2026,High Court of Delhi,block,14,14,yes,yes,matches the 14 declared in the DoT letter,high,annexure,2,plain,,,,81876,https://www.dot.gov.in/static/uploads/2026/08/3adbab277c47beb461dacf089e5cd99e.pdf,
4,4_Blocking order dated 05 August 2026.pdf,2026-08-05,pdf,CS(COMM) 837 of 2024,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,81884,https://www.dot.gov.in/static/uploads/2026/08/21d4d7abd01d7da6b81c04013c22b708.pdf,
5,5_Blocking order dated 07 August 2026.pdf,2026-08-07,pdf,CS(COMM) 331/2025,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,82617,https://www.dot.gov.in/static/uploads/2026/08/2578568ca0f17681d2fefc5e15e60fa9.pdf,
6,6_Blocking order dated 07 August 2026.pdf,2026-08-07,pdf,CS(COMM) 420/2023,High Court of Delhi,unblock,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,82628,https://www.dot.gov.in/static/uploads/2026/08/6a80d980aaa703d097600275188e7683.pdf,
7,7_Blocking order dated 07 August 2026.pdf,2026-08-07,pdf,CS(COMM) 722 of 2026,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,82638,https://www.dot.gov.in/static/uploads/2026/08/78326146777bc08fe91dc31d3f26086d.pdf,
8,8_Blocking order dated 07 August 2026.pdf,2026-08-07,pdf,CS(COMM) 656 of 2026,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,82649,https://www.dot.gov.in/static/uploads/2026/08/938cfb545c936288950797b9e372ca6a.pdf,
9,9_Blocking order dated 07 August 2026.pdf,2026-08-07,pdf,CS (COMM) No. 657 of 2026,High Court of Delhi,block,575,586,yes,yes,586 rows in the annexure match the declared 586; 575 are distinct,high,annexure,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,col:0,,,,82667,https://www.dot.gov.in/static/uploads/2026/08/f393ef5c389004e8b6fb86c6880b780e.pdf,The DoT letter declares 586 entries; 575 of them are distinct.
10,10_Blocking order dated 14 August 2026.pdf,2026-08-14,pdf,CS(COMM) 81 of 2026,High Court of Delhi,block,362,402,yes,yes,402 rows in the annexure match the declared 402; 362 are distinct,high,annexure,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,plain,,,,83543,https://www.dot.gov.in/static/uploads/2026/08/5f5160d6e025bdfb220c7478bfdd7378.pdf,The DoT letter declares 402 entries; 362 of them are distinct.
11,11_Blocking order dated 14 August 2026.pdf,2026-08-14,pdf,,Court of the District Judge,block,16,16,yes,yes,matches the 16 declared in the DoT letter,high,annexure,4,plain,,,,83555,https://www.dot.gov.in/static/uploads/2026/08/64d871068878d467b1af1a5b7227f469.pdf,
12,12_Blocking order dated 14 August 2026.pdf,2026-08-14,pdf,CS(COMM) 810 of 2025,High Court of Delhi,block,102,102,yes,yes,matches the 102 declared in the DoT letter,high,annexure,2 3 4,plain,,,,83567,https://www.dot.gov.in/static/uploads/2026/08/09b0cfab2f35a9fddc3f849edd8d5599.pdf,
13,13_Blocking order dated 18 August 2026.pdf,2026-08-18,pdf,CS(COMM) 678 of 2024,High Court of Delhi,block,14,14,yes,yes,matches the 14 declared in the DoT letter,high,annexure,14,plain,,,,84091,https://www.dot.gov.in/static/uploads/2026/08/6d12e964251a816dc9653bfc85f9db77.pdf,
14,14_Blocking order dated 18 August 2026.pdf,2026-08-18,pdf,CS(COMM) 937 of 2024,High Court of Delhi,block,37,37,yes,yes,matches the 37 declared in the DoT letter,high,annexure,2,plain,,,,84105,https://www.dot.gov.in/static/uploads/2026/08/af15c824ca083563b2426dbba69db05e.pdf,
15,15_Blocking order dated 19 August 2026.pdf,2026-08-19,pdf,CS(COMM) 861 of 2023,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,84340,https://www.dot.gov.in/static/uploads/2026/08/332dacd99460c25438672083c9757202.pdf,
16,16_Blocking order dated 19 August 2026.pdf,2026-08-19,pdf,CS(COMM) 108 of 2025,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,84329,https://www.dot.gov.in/static/uploads/2026/08/336131e51eef16f165ad1b1c1575a325.pdf,
17,17_Blocking order dated 24 August 2026.pdf,2026-08-24,pdf,CS(COMM) 740 of 2026,High Court of Delhi,block,202,198,NO,yes,two independent readings of the same pages agree,medium,annexure,76 77 78 79 80 81 82 83 84 85 86 87 88 89,plain,,,,84598,https://www.dot.gov.in/static/uploads/2026/08/143f5f4585c30f141f8e70e9548b5974.pdf,Found 202 URLs against a declared 198.
18,18_Blocking order dated 24 August 2026.pdf,2026-08-24,pdf,CS(COMM) 837 of 2024,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,84608,https://www.dot.gov.in/static/uploads/2026/08/62d780f139d5231411ff2eb5627a5bfb.pdf,
19,19_Blocking order dated 28 August 2026.pdf,2026-08-28,pdf,CS(COMM) 1116 of 2024,High Court of Delhi,block,26,,,yes,two independent readings of the same pages agree,medium,annexure,51 52 53 54 55 56 57 58 59 60 61,plain+union,plain bands tables col:1,58,tesseract,85198,https://www.dot.gov.in/static/uploads/2026/09/6b6bc725b8e048b85bae221e5d9af3d6.pdf,"OCR (tesseract) used on page(s) 58 | No single reading matched the declared count, so the readings were merged (plain, bands, tables, col:1)."
20,20_Blocking order dated 28 August 2026.pdf,2026-08-28,pdf,CS(COMM) 837 of 2024,High Court of Delhi,block,1,1,yes,yes,matches the 1 declared in the DoT letter,high,annexure,2,plain,,,,85206,https://www.dot.gov.in/static/uploads/2026/09/2aa1b2fa70fb963ed86ce0f2c17bd76b.pdf,
21,21_Blocking order dated 28 August 2026.pdf,2026-08-28,pdf,CS(COMM) 753/2026,High Court of Delhi,block,8,8,yes,yes,matches the 8 declared in the DoT letter,high,annexure,2,plain,,,,85214,https://www.dot.gov.in/static/uploads/2026/09/b8dc38b08a0cbd90f6209eb3ee04016e.pdf,
22,22_Blocking order dated 28 August 2026.pdf,2026-08-28,pdf,CS (Comm) 430/2025,,block,5,5,yes,yes,matches the 5 declared in the DoT letter,high,annexure,10 11,col:3,,,,85222,https://www.dot.gov.in/static/uploads/2026/09/c028cc7c13e6acc82cba6b3712cf8b7e.pdf,
